Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;0;0;0;2;4;25;27;8;0;1;0;0;0;0;0;0;0;0;0;3;67;0,25;Viridans_group_streptococci;0,500;2,000
Ampicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;2,000
Benzylpenicillin;0;0;1;37;161;104;23;11;6;4;2;0;0;0;0;0;0;0;0;5;349;0,25;Viridans_group_streptococci;0,250;2,000
Cefepime;0;0;0;0;0;0;38;54;36;1;0;1;0;0;0;0;0;0;0;1;130;NA;Viridans_group_streptococci;0,500;0,500
Cefotaxime;0;0;0;0;4;10;26;4;0;0;0;0;0;0;0;0;0;0;0;2;44;NA;Viridans_group_streptococci;0,500;0,500
Ceftobiprole;0;0;0;3;0;7;46;13;0;0;0;1;0;0;0;0;0;0;0;3;70;0,25;Viridans_group_streptococci;NA;NA
Ceftriaxone;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Cefuroxime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Ciprofloxacin;0;0;0;0;0;1;6;6;48;62;26;11;0;2;5;0;1;6;0;6;174;NA;Viridans_group_streptococci;NA;NA
Clindamycin;0;0;0;0;9;122;58;30;6;2;0;2;0;6;1;0;0;1;0;5;237;NA;Viridans_group_streptococci;0,500;0,500
Dalbavancin;15;7;18;13;2;1;1;0;0;0;0;0;0;0;0;0;0;0;0;4;57;NA;Viridans_group_streptococci;0,125;0,125
Daptomycin;0;0;0;0;0;1;5;25;32;3;0;1;0;0;0;0;0;0;0;3;67;1,00;Viridans_group_streptococci;NA;NA
Delafloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,032;0,032
Doripenem;0;0;2;10;27;3;1;1;0;0;0;0;0;0;0;0;0;0;0;2;44;NA;Viridans_group_streptococci;1,000;1,000
Eravacycline;13;10;28;0;8;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;61;NA;Viridans_group_streptococci;0,125;0,125
Ertapenem;0;0;0;0;2;3;27;9;5;0;0;0;0;0;0;0;0;0;0;2;46;NA;Viridans_group_streptococci;0,500;0,500
Erythromycin;0;0;0;0;0;10;29;1;0;1;1;0;2;0;0;0;0;0;0;2;44;NA;Viridans_group_streptococci;NA;NA
Gentamicin;0;0;0;0;0;0;1;0;2;2;8;14;17;11;12;1;0;0;0;3;68;128,00;Viridans_group_streptococci;NA;NA
Imipenem;0;0;2;19;17;5;1;0;0;0;0;0;0;0;0;0;0;0;0;2;44;NA;Viridans_group_streptococci;2,000;2,000
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;2,000;2,000
Linezolid;0;0;0;0;0;0;0;11;27;140;17;0;0;0;0;0;0;0;0;9;195;NA;Viridans_group_streptococci;NA;NA
Meropenem;0;0;0;4;22;37;6;1;2;0;0;0;0;0;0;0;0;0;0;3;72;0,25;Viridans_group_streptococci;2,000;2,000
Minocycline;0;0;0;0;0;32;22;11;10;2;3;1;2;2;0;0;0;0;0;4;85;0,50;Viridans_group_streptococci;NA;NA
Moxifloxacin;0;0;0;1;12;27;122;98;4;0;1;0;0;0;0;0;0;0;0;5;265;0,50;Viridans_group_streptococci;NA;NA
Oritavancin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,250;0,250
Oxacillin;0;0;0;0;0;17;7;64;40;14;3;1;1;0;0;0;1;13;0;3;161;NA;Viridans_group_streptococci;NA;NA
Piperacillin-tazobactam;0;0;0;1;2;10;32;36;78;15;4;2;2;5;1;1;1;5;0;6;195;1,00;Viridans_group_streptococci;NA;NA
Tedizolid;0;0;0;11;11;13;40;16;0;0;0;0;0;0;0;0;0;0;0;4;91;NA;Viridans_group_streptococci;0,500;0,500
Teicoplanin;0;0;0;0;0;16;25;26;0;0;0;0;0;0;0;0;0;0;0;3;67;NA;Viridans_group_streptococci;2,000;2,000
Telavancin;0;0;0;13;38;19;7;0;0;0;0;0;0;0;0;0;0;0;0;7;77;NA;Viridans_group_streptococci;NA;NA
Telavancin (w P80);0;0;0;29;48;6;0;0;0;0;0;0;0;0;0;0;0;0;0;2;83;NA;Viridans_group_streptococci;NA;NA
Tetracycline;0;0;0;0;0;0;0;20;31;5;9;6;6;2;3;1;1;1;0;4;85;NA;Viridans_group_streptococci;NA;NA
Trimethoprim;0;0;0;0;0;0;0;1;2;1;0;0;0;0;0;0;0;14;0;1;18;NA;Viridans_group_streptococci;NA;NA
Vancomycin;0;0;0;0;0;0;2;3;51;74;0;0;0;0;0;0;0;0;0;3;130;1,00;Viridans_group_streptococci;2,000;2,000
