Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;2,000
Ampicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;2,000
Benzylpenicillin;0;0;0;39;263;97;38;3;1;1;1;1;2;0;2;1;0;0;0;3;449;0,25;Viridans_group_streptococci;NA;NA
Cefepime;0;0;0;0;0;2;27;34;61;11;1;0;2;3;3;0;0;0;0;1;144;NA;Viridans_group_streptococci;NA;NA
Cefotaxime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Ceftobiprole;0;0;2;0;1;33;16;1;4;4;0;0;0;0;0;0;0;0;0;6;61;NA;Viridans_group_streptococci;NA;NA
Cefuroxime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Ciprofloxacin;0;0;0;0;0;0;4;27;51;14;3;0;0;0;0;0;0;0;0;2;99;NA;Viridans_group_streptococci;NA;NA
Clindamycin;0;0;0;0;0;56;31;9;4;0;2;0;0;1;0;0;0;0;0;1;103;NA;Viridans_group_streptococci;NA;NA
Dalbavancin;3;5;8;10;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;2;29;NA;Viridans_group_streptococci;NA;NA
Eravacycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,125;0,125
Ertapenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;2,000;2,000
Linezolid;0;0;0;0;0;0;1;6;33;62;1;0;0;0;0;0;0;0;0;3;103;NA;Viridans_group_streptococci;NA;NA
Moxifloxacin;0;0;1;0;15;44;158;124;18;4;2;0;0;0;0;0;0;0;0;6;366;0,50;Viridans_group_streptococci;NA;NA
Oritavancin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,250;0,250
Oxacillin;0;0;0;0;0;37;19;51;17;2;0;0;1;2;0;0;0;0;0;1;129;NA;Viridans_group_streptococci;NA;NA
Telavancin;0;0;0;1;13;8;9;0;0;0;0;0;0;0;0;0;0;0;0;5;31;NA;Viridans_group_streptococci;NA;NA
Telavancin (w P80);0;0;0;60;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;94;NA;Viridans_group_streptococci;NA;NA
Vancomycin;0;0;0;0;0;0;2;2;43;61;0;0;0;0;0;0;0;0;0;2;108;NA;Viridans_group_streptococci;NA;NA
