Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Azithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;0,250;0,500
Benzylpenicillin;0;0;0;159;38;17;1;0;0;0;0;0;0;0;0;0;0;0;0;1;215;NA;Streptococcus_A,B,C,G;0,250;0,250
Cefepime;0;0;0;0;0;13;153;26;23;0;0;0;0;0;0;0;0;0;0;1;215;NA;Streptococcus_A,B,C,G;NA;NA
Chloramphenicol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;8,000;8,000
Ciprofloxacin;0;0;0;0;0;0;5;37;100;33;2;0;0;0;0;0;0;0;0;1;177;NA;Streptococcus_A,B,C,G;NA;NA
Clarithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;0,250;0,500
Clindamycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;0,500;0,500
Dalbavancin;0;0;0;50;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;51;NA;Streptococcus_A,B,C,G;0,125;0,125
Daptomycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;1,000;1,000
Delafloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;0,030;0,030
Doxycycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;1,000;2,000
Erythromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;0,250;0,500
Levofloxacin;0;0;0;0;0;1;2;28;123;53;0;1;0;0;0;0;0;0;0;3;208;1,00;Streptococcus_A,B,C,G;0,001;2,000
Linezolid;0;0;0;0;0;0;3;1;12;123;10;0;0;0;0;0;0;0;0;3;149;2,00;Streptococcus_A,B,C,G;2,000;2,000
Minocycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;0,500;0,500
Moxifloxacin;0;0;0;0;1;3;21;5;0;0;0;0;0;0;0;0;0;0;0;3;30;0,25;Streptococcus_A,B,C,G;0,500;0,500
Nitrofurantoin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;64,000;64,000
Ofloxacin;0;0;0;0;0;0;0;0;0;48;14;0;0;0;0;0;0;0;0;1;62;NA;Streptococcus_A,B,C,G;NA;NA
Oritavancin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;0,250;0,250
Oritavancin (with P80);0;0;23;10;24;31;17;10;0;0;0;0;0;0;0;0;0;0;0;1;115;NA;Streptococcus_A,B,C,G;NA;NA
Oxacillin;0;0;0;0;0;119;17;57;1;2;0;1;0;0;0;0;0;0;0;2;197;NA;Streptococcus_A,B,C,G;NA;NA
Rifampicin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;0,060;0,500
Roxithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;0,500;1,000
Sparfloxacin;0;0;0;0;0;0;0;29;30;3;0;0;0;0;0;0;0;0;0;1;62;NA;Streptococcus_A,B,C,G;NA;NA
Tedizolid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;0,500;0,500
Teicoplanin;0;0;0;0;0;3;8;0;0;0;0;0;0;0;0;0;0;0;0;3;11;NA;Streptococcus_A,B,C,G;2,000;2,000
Telithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;0,250;0,500
Tetracycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;1,000;2,000
Tigecycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;0,125;0,125
Trimethoprim;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;2,000;2,000
Trimethoprim-sulfamethoxazole;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;1,000;2,000
Vancomycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;2,000;2,000
