Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;2,000
Ampicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;2,000
Benzylpenicillin;0;0;0;6;19;24;6;1;0;0;0;0;0;0;0;0;0;0;0;1;56;NA;Viridans_group_streptococci;0,250;2,000
Cefepime;0;0;0;0;0;1;7;12;36;0;0;0;0;0;0;0;0;0;0;1;56;NA;Viridans_group_streptococci;0,500;0,500
Cefotaxime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Ceftriaxone;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Cefuroxime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Clindamycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Dalbavancin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,125;0,125
Delafloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,032;0,032
Doripenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;1,000;1,000
Eravacycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,125;0,125
Ertapenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Imipenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;2,000;2,000
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;2,000;2,000
Meropenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;2,000;2,000
Oritavancin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,250;0,250
Oxacillin;0;0;0;0;0;15;7;18;8;0;0;0;0;0;0;0;0;0;0;1;48;NA;Viridans_group_streptococci;NA;NA
Tedizolid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Teicoplanin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;2,000;2,000
Vancomycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;2,000;2,000
