Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;0;0;33;138;10;5;1;1;0;0;0;0;0;0;0;0;0;0;0;4;188;0,064;Streptococcus_A,B,C,G;NA;NA
Azithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;0,250;0,500
Benzylpenicillin;1;59;102;24;4;3;0;0;0;0;0;0;0;0;0;0;0;0;0;5;193;0,064;Streptococcus_A,B,C,G;0,250;0,250
Cefepime;0;0;0;0;0;82;681;11;4;0;0;0;0;0;0;0;0;0;0;2;778;NA;Streptococcus_A,B,C,G;NA;NA
Cefotaxime;0;1;9;151;10;21;0;1;0;0;0;0;0;0;0;0;0;0;0;5;193;0,125;Streptococcus_A,B,C,G;NA;NA
Ceftobiprole;0;0;28;56;9;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;94;NA;Streptococcus_A,B,C,G;NA;NA
Chloramphenicol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;8,000;8,000
Ciprofloxacin;0;0;0;1;1;0;5;116;475;172;25;3;1;0;1;1;0;0;0;6;801;2,000;Streptococcus_A,B,C,G;NA;NA
Clarithromycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;0,250;0,500
Clindamycin;0;0;0;0;7;65;80;26;3;1;0;0;0;0;1;0;0;5;0;4;188;0,500;Streptococcus_A,B,C,G;0,500;0,500
Dalbavancin;0;0;68;105;13;8;1;0;0;0;0;0;0;0;0;0;0;0;0;1;195;NA;Streptococcus_A,B,C,G;0,125;0,125
Daptomycin;0;0;0;0;42;233;77;10;1;1;0;0;0;0;0;0;0;0;0;4;364;NA;Streptococcus_A,B,C,G;1,000;1,000
Delafloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;0,030;0,030
Doripenem;5;126;13;10;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;156;NA;Streptococcus_A,B,C,G;NA;NA
Doxycycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;1,000;2,000
Ertapenem;0;7;31;40;14;1;1;0;0;0;0;0;0;0;0;0;0;0;0;2;94;NA;Streptococcus_A,B,C,G;NA;NA
Erythromycin;0;0;0;0;2;69;58;26;4;2;1;10;3;7;0;0;1;10;0;5;193;0,250;Streptococcus_A,B,C,G;0,250;0,500
Gentamicin;0;0;0;1;1;0;1;0;3;17;62;75;58;10;1;0;0;0;0;5;229;16,000;Streptococcus_A,B,C,G;NA;NA
Imipenem;8;31;6;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;46;NA;Streptococcus_A,B,C,G;NA;NA
Levofloxacin;0;0;0;0;0;1;2;103;351;64;5;0;0;0;0;0;0;0;0;4;526;1,000;Streptococcus_A,B,C,G;0,001;2,000
Linezolid;0;0;0;0;0;0;0;0;14;554;96;10;0;0;0;0;0;0;0;8;674;2,000;Streptococcus_A,B,C,G;2,000;2,000
Minocycline;0;0;0;0;8;4;61;50;9;3;4;3;8;18;20;0;0;0;0;4;188;0,500;Streptococcus_A,B,C,G;0,500;0,500
Moxifloxacin;0;0;0;0;0;7;29;5;0;0;0;0;0;0;0;0;0;0;0;3;41;0,250;Streptococcus_A,B,C,G;0,500;0,500
Nitrofurantoin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;64,000;64,000
Ofloxacin;0;0;0;0;0;0;0;0;3;50;19;1;0;0;0;0;0;0;0;1;73;NA;Streptococcus_A,B,C,G;NA;NA
Oritavancin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;0,250;0,250
