Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;2,000
Ampicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;2,000
Benzylpenicillin;0;0;0;28;55;27;16;0;2;1;0;0;0;0;1;0;0;0;0;1;130;NA;Viridans_group_streptococci;0,250;2,000
Cefepime;0;0;0;0;0;4;29;50;39;8;0;0;0;0;0;0;0;0;0;1;130;NA;Viridans_group_streptococci;0,500;0,500
Cefotaxime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Ceftriaxone;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Cefuroxime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Ciprofloxacin;0;0;0;0;1;0;3;8;47;39;3;0;0;0;0;0;0;0;0;1;101;NA;Viridans_group_streptococci;NA;NA
Clarithromycin;0;0;0;0;28;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;30;NA;Viridans_group_streptococci;NA;NA
Clindamycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Dalbavancin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,125;0,125
Delafloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,032;0,032
Doripenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;1,000;1,000
Eravacycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,125;0,125
Ertapenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Erythromycin;0;0;0;0;11;17;1;1;0;0;0;0;0;0;0;0;0;0;0;1;30;NA;Viridans_group_streptococci;NA;NA
Imipenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;2,000;2,000
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;2,000;2,000
Meropenem;0;0;1;1;1;14;3;1;0;0;0;0;0;0;0;0;0;0;0;1;21;NA;Viridans_group_streptococci;2,000;2,000
Moxifloxacin;0;0;0;0;0;7;25;18;0;0;0;0;0;0;0;0;0;0;0;2;50;NA;Viridans_group_streptococci;NA;NA
Oritavancin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,250;0,250
Oxacillin;0;0;0;0;0;27;20;43;19;1;0;0;0;0;0;0;0;0;0;1;110;NA;Viridans_group_streptococci;NA;NA
Piperacillin-tazobactam;0;0;0;0;2;6;8;9;61;13;2;0;1;0;0;0;0;0;0;2;102;NA;Viridans_group_streptococci;NA;NA
Roxithromycin;0;0;0;0;11;17;2;0;0;0;0;0;0;0;0;0;0;0;0;1;30;NA;Viridans_group_streptococci;NA;NA
Tedizolid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Teicoplanin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;2,000;2,000
Telithromycin;0;0;3;21;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;30;NA;Viridans_group_streptococci;NA;NA
Vancomycin;0;0;0;0;0;0;1;4;50;53;0;0;0;0;0;0;0;0;0;1;108;NA;Viridans_group_streptococci;2,000;2,000
