Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;2,000
Ampicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;2,000
Benzylpenicillin;0;0;0;94;190;92;106;69;35;38;25;23;19;3;1;4;0;0;0;3;699;0,25;Viridans_group_streptococci;0,250;2,000
Cefepime;0;0;0;0;0;26;215;56;46;32;34;13;6;3;6;0;0;0;0;1;437;NA;Viridans_group_streptococci;0,500;0,500
Cefotaxime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Ceftriaxone;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Cefuroxime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Ciprofloxacin;0;0;0;0;1;1;1;9;38;106;171;82;5;0;0;1;0;0;0;2;415;NA;Viridans_group_streptococci;NA;NA
Clindamycin;0;0;0;0;0;121;65;9;4;6;1;2;0;16;0;0;0;0;0;1;224;NA;Viridans_group_streptococci;0,500;0,500
Dalbavancin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,125;0,125
Daptomycin;0;0;0;0;1;4;11;53;49;24;0;0;0;0;0;0;0;0;0;1;142;NA;Viridans_group_streptococci;NA;NA
Delafloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,032;0,032
Doripenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;1,000;1,000
Eravacycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,125;0,125
Ertapenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Imipenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;2,000;2,000
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;2,000;2,000
Levofloxacin;0;0;0;0;0;1;0;0;36;205;51;2;0;0;0;0;0;0;0;1;295;NA;Viridans_group_streptococci;NA;NA
Linezolid;0;0;0;0;0;0;1;3;41;152;4;0;0;0;0;0;0;0;0;1;201;NA;Viridans_group_streptococci;NA;NA
Meropenem;0;0;1;9;32;30;17;7;14;8;6;3;0;1;0;0;0;0;0;2;128;NA;Viridans_group_streptococci;2,000;2,000
Moxifloxacin;0;0;0;0;12;18;152;82;12;1;0;3;3;0;0;0;0;0;0;6;283;0,50;Viridans_group_streptococci;NA;NA
Oritavancin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,250;0,250
Oxacillin;0;0;0;0;0;160;24;187;30;33;24;13;5;3;0;0;0;0;0;2;479;NA;Viridans_group_streptococci;NA;NA
Quinupristin-dalfopristin;0;0;0;0;0;0;0;3;4;11;5;4;1;0;0;0;0;0;0;1;28;NA;Viridans_group_streptococci;NA;NA
Tedizolid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Teicoplanin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;2,000;2,000
Telavancin;0;0;1;2;9;15;9;0;0;0;0;0;0;0;0;0;0;0;0;7;36;NA;Viridans_group_streptococci;NA;NA
Telavancin (w P80);0;0;0;53;64;18;1;0;0;0;0;0;0;0;0;0;0;0;0;2;136;NA;Viridans_group_streptococci;NA;NA
Vancomycin;0;0;0;0;0;0;1;42;418;55;0;0;0;0;0;0;0;0;0;2;516;NA;Viridans_group_streptococci;2,000;2,000
