Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;0;0;4;41;62;26;23;12;9;6;5;5;0;3;0;0;0;0;0;4;196;0,125;Viridans_group_streptococci;0,500;2,000
Ampicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;2,000
Benzylpenicillin;0;0;6;85;218;94;80;29;24;20;19;14;16;2;0;0;0;0;0;6;607;0,250;Viridans_group_streptococci;0,250;2,000
Cefepime;0;0;0;0;0;12;89;22;17;7;16;9;5;2;0;0;0;0;0;1;179;NA;Viridans_group_streptococci;0,500;0,500
Cefotaxime;0;1;8;17;46;59;30;19;7;2;3;2;2;0;0;0;0;0;0;4;196;NA;Viridans_group_streptococci;0,500;0,500
Cefpodoxime;0;0;0;0;6;4;5;2;2;3;3;1;5;0;0;0;0;0;0;1;31;NA;Viridans_group_streptococci;NA;NA
Ceftobiprole;0;0;1;26;73;17;20;14;8;1;0;1;0;0;0;0;0;0;0;3;161;0,125;Viridans_group_streptococci;NA;NA
Ceftriaxone;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Cefuroxime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Ciprofloxacin;0;0;0;0;0;0;0;0;0;0;30;64;35;12;3;1;0;0;0;3;145;NA;Viridans_group_streptococci;NA;NA
Clindamycin;0;0;0;2;27;217;112;23;7;5;4;3;1;13;0;1;1;6;0;5;422;0,500;Viridans_group_streptococci;0,500;0,500
Dalbavancin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,125;0,125
Daptomycin;0;0;0;0;0;0;7;30;57;52;3;0;0;0;0;0;0;0;0;3;149;NA;Viridans_group_streptococci;NA;NA
Delafloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,032;0,032
Doripenem;0;9;41;47;31;11;12;3;5;2;0;0;0;0;0;0;0;0;0;3;161;0,032;Viridans_group_streptococci;1,000;1,000
Eravacycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,125;0,125
Ertapenem;0;0;4;24;30;18;8;7;3;3;0;1;0;0;0;0;0;0;0;2;98;NA;Viridans_group_streptococci;0,500;0,500
Erythromycin;0;0;0;0;1;20;47;5;5;22;4;24;26;13;13;4;3;9;0;4;196;NA;Viridans_group_streptococci;NA;NA
