Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;2;150;1474;2717;2455;245;210;104;156;372;301;45;32;11;0;0;0;0;0;12;8274;0,064;S.pneumoniae;NA;NA
Ampicillin;0;16;169;391;97;37;18;12;17;10;28;9;4;1;0;0;0;0;0;5;809;0,064;S.pneumoniae;0,500;2,00
Azithromycin;0;0;0;5;1248;17028;27426;1725;183;245;640;2651;3040;2596;1608;539;5541;4094;0;6;68569;0,250;S.pneumoniae;0,250;0,50
Benzylpenicillin;107;828;4804;13792;5940;1923;1048;1166;972;956;2563;2010;172;0;0;0;0;0;0;33;36281;0,064;S.pneumoniae;0,064;2,00
Cefaclor;0;0;0;2;11;258;770;939;271;133;45;6;22;46;40;27;11;0;0;6;2581;0,500;S.pneumoniae;0,001;0,50
Cefadroxil;0;0;0;0;0;0;0;0;0;19;2;5;0;0;0;5;4;0;0;1;35;NA;S.pneumoniae;NA;NA
Cefalexin;0;0;0;0;0;0;0;1;3;29;7;3;3;0;0;0;1;0;0;1;47;NA;S.pneumoniae;NA;NA
Cefalothin;0;0;0;1;2;13;78;27;8;6;9;1;1;0;0;0;0;0;0;2;146;NA;S.pneumoniae;NA;NA
Cefazolin;0;0;0;0;14;147;30;6;5;3;2;2;0;0;0;0;0;0;0;1;209;NA;S.pneumoniae;NA;NA
Cefdinir;0;0;0;2;80;1908;429;106;46;24;18;87;262;23;1;0;0;0;0;1;2986;NA;S.pneumoniae;NA;NA
Cefepime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;S.pneumoniae;1,000;2,00
Cefixime;0;0;0;0;0;6;282;2426;507;299;299;193;201;380;572;187;39;0;0;5;5391;NA;S.pneumoniae;NA;NA
Cefoperazone;0;0;0;0;79;96;14;5;6;5;3;1;1;0;0;0;0;0;0;1;210;NA;S.pneumoniae;NA;NA
Cefotaxime;28;504;3154;4669;687;255;226;192;319;174;60;11;0;0;0;0;0;0;0;24;10279;0,064;S.pneumoniae;0,500;2,00
Cefpirome;0;0;2;155;62;216;259;15;24;2;4;7;9;6;2;0;4;0;0;4;767;NA;S.pneumoniae;NA;NA
Cefpodoxime;0;0;49;378;3413;530;220;177;101;176;433;313;19;14;2;0;0;0;0;5;5825;0,125;S.pneumoniae;0,250;0,50
Ceftaroline;1;2;10;2216;195;229;528;174;68;1;2;0;0;0;0;0;0;0;0;3;3426;0,032;S.pneumoniae;0,250;0,25
Ceftazidime;0;0;2;1;14;49;107;189;105;161;335;28;30;21;6;0;0;0;0;4;1048;0,500;S.pneumoniae;NA;NA
Ceftibuten;0;0;0;0;0;0;0;0;0;70;99;101;13;11;0;2;0;12;0;2;308;NA;S.pneumoniae;NA;NA
Ceftobiprole;49;64;1023;2229;539;363;299;1025;1369;306;32;2;0;0;0;0;0;0;0;15;7300;0,032;S.pneumoniae;0,500;0,50
Ceftolozane;0;0;0;2;0;12;92;25;11;4;7;28;9;1;1;0;0;0;0;6;192;0,500;S.pneumoniae;NA;NA
Ceftolozane-tazobactam;0;0;0;0;2;302;174;51;33;22;42;48;58;5;5;2;0;0;0;10;744;0,500;S.pneumoniae;NA;NA
Ceftriaxone;0;4;17;883;1510;157;147;79;102;287;45;4;2;1;0;0;0;0;0;4;3238;0,064;S.pneumoniae;0,500;2,00
Cefuroxime;0;12;1166;4444;10183;5461;1433;1436;1121;854;692;2305;3166;546;8;2;0;0;0;17;32829;0,125;S.pneumoniae;0,500;1,00
Chloramphenicol;0;0;0;0;0;1;2;10;66;647;2485;2805;88;260;25;2;0;0;0;8;6391;8,000;S.pneumoniae;8,000;8,00
Ciprofloxacin;0;0;8;13;26;32;129;1558;11160;42781;15822;1328;299;100;153;100;10;3;1;50;73523;4,000;S.pneumoniae;NA;NA
Clarithromycin;0;0;16;349;9969;5845;58;42;76;390;931;421;505;199;396;5123;2;4;0;6;24326;0,125;S.pneumoniae;0,250;0,50
Clindamycin;0;0;23;140;2511;19650;7742;1039;81;54;306;587;4786;23;422;772;61;28;0;24;38225;0,250;S.pneumoniae;0,500;0,50
Daptomycin;0;0;0;0;3;248;5121;2456;280;25;1;0;0;0;0;0;0;0;0;4;8134;0,500;S.pneumoniae;NA;NA
Doripenem;7;529;123;19;12;13;14;43;13;4;0;0;0;0;0;0;0;0;0;4;777;0,016;S.pneumoniae;1,000;1,00
Doxycycline;0;0;0;3;12;298;2493;1204;183;54;65;191;194;56;7;3;0;0;0;6;4763;0,500;S.pneumoniae;1,000;2,00
Eravacycline;14;75;398;47;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;539;NA;S.pneumoniae;NA;NA
Ertapenem;99;590;1109;712;106;50;41;98;90;23;2;0;0;1;0;0;0;0;0;7;2921;NA;S.pneumoniae;0,500;0,50
Erythromycin;0;1;6;215;2578;19211;6734;1029;98;178;715;1078;862;604;792;554;5513;383;1;33;40552;0,250;S.pneumoniae;0,250;0,50
