Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;0;3;77;207;6;6;1;0;0;0;0;0;0;0;0;0;0;0;0;4;300;0,064;Streptococcus_A,B,C,G;NA;NA
Ampicillin;0;0;2;27;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;33;NA;Streptococcus_A,B,C,G;NA;NA
Azithromycin;0;0;0;4;295;2875;15606;3360;108;44;29;117;683;456;151;50;379;186;0;5;24343;0,250;Streptococcus_A,B,C,G;0,250;0,500
Benzylpenicillin;9;175;1004;1426;54;7;1;1;0;0;0;0;0;0;0;0;0;0;0;12;2677;0,032;Streptococcus_A,B,C,G;0,250;0,250
Cefaclor;0;0;0;0;0;68;55;42;9;1;1;0;0;0;0;0;0;0;0;4;176;NA;Streptococcus_A,B,C,G;NA;NA
Cefadroxil;0;0;0;0;0;0;27;1;0;0;0;0;0;0;0;0;0;0;0;1;28;NA;Streptococcus_A,B,C,G;NA;NA
Cefalothin;0;0;0;0;1;18;47;1;0;0;0;0;0;0;0;0;0;0;0;2;67;NA;Streptococcus_A,B,C,G;NA;NA
Cefixime;0;0;0;0;3;90;40;0;0;0;0;0;0;0;0;0;0;0;0;2;133;NA;Streptococcus_A,B,C,G;NA;NA
Cefotaxime;1;21;416;236;27;22;1;1;0;0;0;0;0;0;0;0;0;0;0;7;725;0,064;Streptococcus_A,B,C,G;NA;NA
Ceftaroline;0;32;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;33;NA;Streptococcus_A,B,C,G;NA;NA
Ceftazidime;0;0;0;1;2;75;113;59;16;1;0;1;5;0;0;0;0;0;0;3;273;0,500;Streptococcus_A,B,C,G;NA;NA
Ceftibuten;0;0;0;0;0;0;0;5;19;1;0;0;0;0;0;0;0;0;0;1;25;NA;Streptococcus_A,B,C,G;NA;NA
Ceftobiprole;0;1;97;54;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;157;NA;Streptococcus_A,B,C,G;NA;NA
Ceftolozane;0;0;0;0;0;0;30;92;4;0;0;0;0;0;0;0;0;0;0;2;126;NA;Streptococcus_A,B,C,G;NA;NA
Ceftolozane-tazobactam;0;0;0;0;0;11;87;68;1;0;1;0;0;0;0;0;0;0;0;3;168;0,500;Streptococcus_A,B,C,G;NA;NA
Chloramphenicol;0;0;0;0;0;0;0;0;0;1;34;34;0;1;3;1;0;0;0;2;74;NA;Streptococcus_A,B,C,G;8,000;8,000
Ciprofloxacin;0;0;0;2;3;4;54;3710;6962;967;855;75;7;1;5;0;0;0;234;14;12879;1,000;Streptococcus_A,B,C,G;NA;NA
Clarithromycin;0;0;1;832;5473;337;18;17;34;86;113;119;261;58;15;282;0;0;0;5;7646;0,125;Streptococcus_A,B,C,G;0,250;0,500
Clindamycin;0;0;0;7;3418;5778;1289;104;11;5;2;9;261;5;10;73;0;5;0;14;10977;0,250;Streptococcus_A,B,C,G;0,500;0,500
Dalbavancin;6;23;435;1174;89;53;9;1;0;0;0;0;0;0;0;0;0;0;0;12;1790;0,032;Streptococcus_A,B,C,G;0,125;0,125
Daptomycin;0;0;0;7;135;632;187;21;4;0;0;0;0;0;0;0;0;0;0;4;986;0,250;Streptococcus_A,B,C,G;1,000;1,000
Delafloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Streptococcus_A,B,C,G;0,030;0,030
Doripenem;88;169;13;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;278;0,016;Streptococcus_A,B,C,G;NA;NA
Doxycycline;0;0;0;3;18;167;901;740;105;11;3;3;49;159;65;12;1;2;0;7;2239;0,500;Streptococcus_A,B,C,G;1,000;2,000
Eravacycline;1;2;43;64;354;36;1;0;0;0;0;0;0;0;0;0;0;0;0;4;501;0,064;Streptococcus_A,B,C,G;NA;NA
Ertapenem;0;3;5;40;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;48;NA;Streptococcus_A,B,C,G;NA;NA
Erythromycin;0;0;0;70;3176;5640;1047;214;32;40;114;120;283;228;22;21;363;10;0;14;11380;0,250;Streptococcus_A,B,C,G;0,250;0,500
Fosfomycin;0;0;0;0;0;0;0;0;0;0;1;0;1;3;25;20;0;0;0;1;50;NA;Streptococcus_A,B,C,G;NA;NA
Fusidic acid;0;0;0;2;0;0;1;1;4;10;275;1595;897;46;8;0;0;0;0;4;2839;16,000;Streptococcus_A,B,C,G;NA;NA
Gatifloxacin;0;0;0;0;2;30;255;358;132;22;0;1;0;0;0;0;0;0;236;5;1036;1,000;Streptococcus_A,B,C,G;NA;NA
Gemifloxacin;0;0;0;12;18;18;1;0;0;0;0;0;0;0;0;0;0;0;0;2;49;NA;Streptococcus_A,B,C,G;NA;NA
Gentamicin;0;0;0;0;1;2;2;5;15;38;161;660;1418;305;33;7;0;0;237;8;2884;32,000;Streptococcus_A,B,C,G;NA;NA
Imipenem;62;346;137;99;61;14;1;1;1;0;0;0;0;0;0;0;0;0;0;9;722;0,064;Streptococcus_A,B,C,G;NA;NA
Levofloxacin;0;0;0;1;0;1;23;1903;20389;2647;1578;8;10;10;0;0;0;0;238;13;26808;2,000;Streptococcus_A,B,C,G;0,001;2,000
Linezolid;0;0;0;0;0;11;252;287;2941;15716;4206;13;1;0;0;0;0;0;0;17;23427;2,000;Streptococcus_A,B,C,G;2,000;2,000
