Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;2,000
Ampicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;2,000
Benzylpenicillin;0;0;0;10;50;47;45;15;17;7;3;2;2;0;0;0;0;0;0;3;198;0,25;Viridans_group_streptococci;0,250;2,000
Cefepime;0;0;0;0;0;12;77;13;9;6;2;1;0;1;0;0;0;0;0;1;121;NA;Viridans_group_streptococci;0,500;0,500
Cefotaxime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Ceftriaxone;0;0;0;0;0;2;0;86;7;5;2;1;0;1;0;0;0;0;0;1;104;NA;Viridans_group_streptococci;0,500;0,500
Cefuroxime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Ciprofloxacin;0;0;0;0;1;1;0;2;29;41;12;1;0;0;0;0;0;0;0;1;87;NA;Viridans_group_streptococci;NA;NA
Clindamycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Dalbavancin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,125;0,125
Delafloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,032;0,032
Doripenem;0;1;4;1;3;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;10;NA;Viridans_group_streptococci;1,000;1,000
Eravacycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,125;0,125
Ertapenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Imipenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;2,000;2,000
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;2,000;2,000
Meropenem;0;0;0;1;5;10;1;1;0;0;0;1;0;0;0;0;0;0;0;1;19;NA;Viridans_group_streptococci;2,000;2,000
Moxifloxacin;0;0;0;0;11;7;47;40;12;1;0;0;0;0;0;0;0;0;0;5;118;0,50;Viridans_group_streptococci;NA;NA
Oritavancin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,250;0,250
Tedizolid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Teicoplanin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;2,000;2,000
Vancomycin;0;0;0;0;0;0;1;6;58;29;1;0;0;0;0;0;0;0;0;1;95;NA;Viridans_group_streptococci;2,000;2,000
