Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;0;0;0;0;1;2;11;9;9;2;2;0;1;0;0;0;0;0;0;1;37;NA;Viridans_group_streptococci;0,500;2,000
Ampicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;2,000
Benzylpenicillin;0;0;0;30;38;35;40;25;27;9;14;5;4;1;0;0;0;0;0;3;228;0,25;Viridans_group_streptococci;0,250;2,000
Cefepime;0;0;0;0;0;5;84;22;33;5;9;3;3;0;0;0;0;0;0;1;164;NA;Viridans_group_streptococci;0,500;0,500
Cefotaxime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Ceftriaxone;0;0;1;0;0;1;1;107;15;9;5;3;2;0;0;0;0;0;0;1;144;NA;Viridans_group_streptococci;0,500;0,500
Cefuroxime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Ciprofloxacin;0;0;0;0;0;0;1;3;23;65;33;2;0;0;0;0;0;0;0;1;127;NA;Viridans_group_streptococci;NA;NA
Clindamycin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Dalbavancin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,125;0,125
Delafloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,030;0,030
Doripenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;1,000;1,000
Eravacycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,125;0,125
Ertapenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Imipenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;2,000;2,000
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;2,000;2,000
Levofloxacin;0;0;0;0;0;0;1;2;47;49;16;0;0;0;0;0;0;0;0;1;115;NA;Viridans_group_streptococci;NA;NA
Linezolid;0;0;0;0;0;0;0;1;23;69;3;0;0;0;0;0;0;0;0;1;96;NA;Viridans_group_streptococci;NA;NA
Meropenem;0;0;1;1;3;3;4;1;2;1;1;1;0;0;0;0;0;0;0;1;18;NA;Viridans_group_streptococci;2,000;2,000
Moxifloxacin;0;0;0;0;1;6;44;22;4;0;0;0;1;0;0;0;0;0;0;6;78;0,50;Viridans_group_streptococci;NA;NA
Oritavancin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,250;0,250
Tedizolid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Teicoplanin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;2,000;2,000
Vancomycin;0;0;0;0;0;0;1;6;113;25;0;0;0;0;0;0;0;0;0;1;145;NA;Viridans_group_streptococci;2,000;2,000
