Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.03;MIC_0.06;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amoxicillin;0;0;4;26;56;86;89;41;22;19;12;2;3;5;5;0;0;0;0;3;370;NA;Viridans_group_streptococci;0,500;2,000
Ampicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;2,000
Benzylpenicillin;0;0;13;57;146;171;76;43;28;16;18;9;8;0;0;3;1;0;0;5;589;0,250;Viridans_group_streptococci;0,250;2,000
Cefadroxil;0;0;0;0;0;0;0;0;1;3;9;5;5;0;0;0;1;0;0;1;24;NA;Viridans_group_streptococci;NA;NA
Cefalothin;0;0;0;0;0;1;11;8;4;0;0;0;1;0;0;0;0;0;0;1;25;NA;Viridans_group_streptococci;NA;NA
Cefepime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Cefixime;0;0;0;0;0;4;3;5;3;5;3;1;1;0;0;0;0;0;0;1;25;NA;Viridans_group_streptococci;NA;NA
Cefotaxime;1;3;16;39;113;111;155;129;58;24;15;6;9;6;1;1;0;1;1;6;689;NA;Viridans_group_streptococci;0,500;0,500
Ceftazidime;0;0;0;0;2;2;6;19;28;18;12;19;7;7;9;2;2;2;0;3;135;NA;Viridans_group_streptococci;NA;NA
Ceftibuten;0;0;0;0;0;0;0;3;1;2;1;2;3;2;3;2;0;5;0;1;24;NA;Viridans_group_streptococci;NA;NA
Ceftobiprole;0;2;8;41;119;44;68;44;11;4;2;3;0;0;0;0;0;0;0;3;346;NA;Viridans_group_streptococci;NA;NA
Ceftriaxone;0;10;8;3;4;0;10;7;4;2;2;3;3;1;2;0;0;0;0;2;59;NA;Viridans_group_streptococci;0,500;0,500
Cefuroxime;0;0;0;3;1;4;14;8;5;3;1;2;2;1;8;0;0;0;0;2;52;NA;Viridans_group_streptococci;0,500;0,500
Chloramphenicol;0;0;0;0;0;0;0;0;0;9;19;6;0;1;0;0;0;0;0;1;35;NA;Viridans_group_streptococci;NA;NA
Ciprofloxacin;0;0;0;0;0;0;5;13;110;147;194;129;39;14;5;3;3;4;0;5;666;NA;Viridans_group_streptococci;NA;NA
Clindamycin;0;0;1;11;121;274;64;19;5;2;3;0;7;8;6;8;15;32;0;4;576;0,250;Viridans_group_streptococci;0,500;0,500
Dalbavancin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,125;0,125
Delafloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,030;0,030
Doripenem;0;2;73;83;88;41;30;8;7;3;0;0;0;0;0;0;0;0;0;2;335;NA;Viridans_group_streptococci;1,000;1,000
Doxycycline;0;0;0;0;2;3;9;3;0;1;0;2;2;3;0;0;0;0;0;1;25;NA;Viridans_group_streptococci;NA;NA
Eravacycline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,125;0,125
Ertapenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,500;0,500
Erythromycin;0;0;0;0;9;108;190;37;2;16;19;34;45;26;5;3;11;57;1;4;563;0,250;Viridans_group_streptococci;NA;NA
Gatifloxacin;0;0;0;1;1;1;2;8;19;8;1;0;0;0;0;0;0;0;0;1;41;NA;Viridans_group_streptococci;NA;NA
Gentamicin;0;0;0;0;0;0;0;1;8;15;40;92;103;99;66;93;3;1;0;4;521;2,000;Viridans_group_streptococci;NA;NA
Imipenem;0;14;66;131;113;83;37;19;24;7;1;2;0;2;0;1;0;0;0;6;500;0,125;Viridans_group_streptococci;2,000;2,000
Imipenem-relebactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;2,000;2,000
Levofloxacin;0;0;0;0;0;0;2;16;109;188;70;11;3;3;0;1;0;0;0;6;403;2,000;Viridans_group_streptococci;NA;NA
Linezolid;0;0;0;0;0;0;0;6;80;555;114;0;0;0;0;0;0;0;0;6;755;2,000;Viridans_group_streptococci;NA;NA
Meropenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;2,000;2,000
Minocycline;0;0;0;0;6;72;194;57;25;13;14;19;50;60;32;9;0;0;0;3;551;0,500;Viridans_group_streptococci;NA;NA
Moxifloxacin;0;0;0;0;1;42;145;64;8;3;3;0;0;0;0;0;0;0;0;3;266;0,500;Viridans_group_streptococci;NA;NA
Netilmicin;0;0;0;0;0;0;0;0;0;2;6;10;3;4;0;0;0;0;0;1;25;NA;Viridans_group_streptococci;NA;NA
Norfloxacin;0;0;0;0;0;0;0;0;0;0;1;4;5;14;3;1;2;0;0;1;30;NA;Viridans_group_streptococci;NA;NA
Ofloxacin;0;0;0;0;0;0;0;0;1;21;76;19;3;1;0;1;0;0;0;2;122;NA;Viridans_group_streptococci;NA;NA
Oritavancin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Viridans_group_streptococci;0,250;0,250
Oritavancin (with P80);0;0;467;134;93;87;46;7;1;0;0;0;0;0;0;0;0;0;0;1;835;NA;Viridans_group_streptococci;NA;NA
Oxacillin;0;0;0;0;0;118;19;354;65;26;21;19;4;0;1;3;0;0;0;2;630;NA;Viridans_group_streptococci;NA;NA
Phenoxymethylpenicillin;0;0;0;0;0;7;6;8;3;0;0;1;0;0;0;0;0;0;0;1;25;NA;Viridans_group_streptococci;NA;NA
Piperacillin;0;0;6;16;18;16;36;22;11;6;5;1;2;4;0;1;0;0;0;2;144;NA;Viridans_group_streptococci;NA;NA
Piperacillin-tazobactam;0;2;17;49;70;54;149;132;88;35;23;30;22;11;2;2;0;1;0;6;687;NA;Viridans_group_streptococci;NA;NA
Quinupristin-dalfopristin;0;0;0;0;0;0;0;0;9;14;22;4;1;0;0;0;0;0;0;1;50;NA;Viridans_group_streptococci;NA;NA
