Drugname;MIC_0.002;MIC_0.004;MIC_0.008;MIC_0.016;MIC_0.032;MIC_0.064;MIC_0.125;MIC_0.25;MIC_0.5;MIC_1;MIC_2;MIC_4;MIC_8;MIC_16;MIC_32;MIC_64;MIC_128;MIC_256;MIC_512;Distribution;Observations;ECOFF;Breakpoint_type;Sensitive;Resistant
Amikacin;0;0;0;0;0;0;0;12;26;53;60;0;0;0;0;0;0;0;0;1;151;NA;Enterobacterales;8,000;8,000
Amoxicillin;0;0;0;0;0;0;0;0;0;1;1;1;1;16;36;81;14;0;0;1;151;NA;Enterobacterales;8,000;8,000
Amoxicillin-clavulanic_acid;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ampicillin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ampicillin-sulbactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Aztreonam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,000;4,000
Cefadroxil;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;16,000;16,000
Cefalexin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;16,000;16,000
Cefazolin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;0,001;4,000
Cefepime;0;0;0;1;0;12;93;14;0;0;0;0;0;0;0;0;0;0;0;1;120;NA;Enterobacterales;1,000;4,000
Cefiderocol;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;2,000;2,000
Cefixime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,000;1,000
Cefotaxime;0;0;0;0;1;25;223;24;6;5;2;2;0;0;0;0;0;0;0;3;288;1,00;Enterobacterales;1,000;2,000
Cefpodoxime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,000;1,000
Ceftaroline;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;0,500;0,500
Ceftazidime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,000;4,000
Ceftazidime-avibactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;8,000;8,000
Ceftibuten;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,000;1,000
Ceftobiprole;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;0,250;0,250
Ceftolozane-tazobactam;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;2,000;2,000
Ceftriaxone;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,000;2,000
Cefuroxime;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;0,001;8,000
Chloramphenicol;0;0;0;0;0;0;0;0;1;16;44;72;17;0;0;1;0;0;0;1;151;NA;Enterobacterales;8,000;8,000
Ciprofloxacin;0;0;3;14;143;145;0;1;9;0;0;0;0;0;0;0;0;0;0;4;315;0,25;Enterobacterales;0,250;0,500
Colistin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;2,000;2,000
Delafloxacin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;0,125;0,125
Doripenem;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;Enterobacterales;1,000;2,000
Doxycycline;0;0;0;0;0;0;0;1;42;94;41;0;0;0;0;0;0;0;0;2;178;NA;Enterobacterales;NA;NA
